,0
557cdafb4838e314885ddb4c7a177d13,1733.0
5a84cbca09090824be95118781802f82,1729.0
65641452be75528754b5ae258ba661c1,1721.0
61471d90c2adb4e8e6fee7eecdd9ca8d,1717.0
6b8307a0222360f36caf7065c78ff424,1713.0
499f1c879aa937fd84ec658999d69c43,1703.0
fca9a6cab4d479ef5a1201da4efb3d21,1701.0
1328ddadac3f2d08eb25e79a18f7e574,1695.0
4e03ac3807d3f161f6713c73b9ed16cd,1684.0
c220411c349b8a75624ff17ef6fd3923,1669.0
d6443ae1b639b169177263669b3256d9,1656.0
f3028e6e91b09bef83702f3ed00265b1,1648.0
acd07c6a53e9685d44560fd7dd60321e,1630.0
3cec387e3e89982bf989b857f7c296d1,1620.0
ece8f3889c05b3350152571f8dda9ab7,1609.0
646ce7e45794e2cacc0d6acf2cf3c6ed,1567.0
d3d0b6aba6f97f1ba77a412531587a84,1564.0
e1f3dca7a444e322745b21064cf6fbd2,1559.0
08eedcaf8f982611c4982038139f6271,1542.0
30598f0d14cb4af2c3150ebb17667b95,1533.0
df6d28dcdb6d93ca063daeb86dfc8e2d,1526.0
bf611493002f5918a68778bde2def567,1521.0
6c921e3ae0af506f54295d074ca071bc,1519.0
3f2528fd60a3c6bfdd9c72b69f0f91ae,1516.0
57d7db0d1473a71e4955463f11cbbfb7,1503.0
b7aa21bce8178648a994aa472efa61eb,1503.0
3bee9c539413e8c83c7ea15b4fb8e9e3,1496.0
f0a3b85336766433b385b8e5d23182d2,1490.0
c6a3cc351a282eee0fa3b42ee844f702,1474.0
f90da346d6d359c6a953f099695a44cc,1457.0
a80466eb93811bc792e1524c6afc316a,1456.0
76b219eb7351347070ab7205275b9c02,1428.0
bdf27bf0597da52d63064583bb957834,1426.0
6d4ab2107d92228c6751838e7dbbe697,1422.0
e34bae2ab1f4c6c95ef0229dd5bc6ae9,1410.0
ac77ace34a1319f25a140f0491fa3740,1390.0
9fac45309651b2907fa6715ab127400c,1382.0
1e040db0048bb4067f6d355cb45648dd,1379.0
4cdb801ba4f26caf078e68b0277da28f,1361.0
d6eda88bd8370a52076b0dafde12249a,1357.0
d49783e7800974b5f2bcce554e26072e,1351.0
13a964e7f898ce1665b49060e46da91c,1341.0
09fe878f37fdb48cdc41797c656c05b2,1330.0
78fb4140156b855369c5c80f4555cfd7,1328.0
11bc72b11af066726c613fcba7b0ea7a,1322.0
cf875aa5375131a1cd5c9fb01cca5f1e,1318.0
b155d97b79acc3086ce118451afa0124,1309.0
153c93e302c4700f4c3515546aa47a1f,1293.0
707740d13076516032127f753473cfc3,1293.0
12691e42e5f8f917a8ca55e38670afdd,1292.0
ecd1c29a6dfa4ace3983b1b3934a0e59,1289.0
b00c3432b2ba4ccb41e22cbf1f9e336d,1263.0
7215e6796de3e835c8879da79b1b708d,1253.0
5f1f6453ad88dc836876671d27f97f58,1252.0
d23bbe506e4ded19e9dd017b65275bab,1249.0
389baca2895da43bd2e159efb7e006fe,1245.0
de3f4613e9a94b62157b9f3309c18a16,1233.0
94a5fb3e94fa10a3e1368857462ede35,1220.0
2197e3c697e9c1427ae1c3277d3c71f9,1212.0
48120f2d28136884787660eb4953652a,1208.0
e4ef1c7b616eb842c0ff7a327e83bd76,1206.0
5486b3596fd06f9ad4191bad37149a40,1205.0
759456dbbcad59cfb49ade008456f99e,1201.0
91a093473cad95da81d9ebb47d5ef0c5,1180.0
5fe7368c69e66529f0fe71354cc10fc7,1177.0
af55dfcf7516e6d1d45fa6f16ebc1ca3,1163.0
2491b6fd794f93238622a0a4f4e586fb,1154.0
2255c4f0f1d9b88ecdf914665b573ce4,1154.0
36d9f553b6f26520e7a6f8671cdde1f5,1149.0
9c6688b479e664fa9d070647653e49ed,1141.0
aae626812acc320e71e44fd7ab0561b0,1139.0
7c8a0d2635e31c74417fcffbcd03d70c,1135.0
97fbd9fac072dc24ef7af2e143df17a1,1133.0
e127450ed2ad1088a651c6a3f8a405b3,1119.0
137e6f9d32678d9c9e94393f6ca94e55,1103.0
226ab97195d19858d059fffaef17f5d7,1087.0
ca8316436bfd3aa62fc76e2ed5b8fca8,1087.0
6e424244f0ae7694d4a2678c19ecc0a9,1078.0
00cd2f68603124759047487807589f27,1074.0
7a6a394fe7285b50ee54b56f316a3944,1066.0
1fd294eea9485182ef6ac20c65e5a949,1058.0
5331f57ab0f2e416cce5e856ca82bc07,1056.0
d60f301b7a949b89d4ab416fd6023373,1052.0
3562d3a0374b9f2ed190c1a7aa7dedb7,1046.0
241358149d169fe77c6d1070671e4264,1046.0
65e42c2d69bcf093aa2417e578bde9ec,1036.0
de6d4db1f82eeba7ec07206846619c2c,1035.0
1fdb09b154f347c35de3aad68774cb79,1033.0
f360732d7a498f5f743e6ece134507fd,1028.0
31217980cfdf305668ba9c8482a34e81,1027.0
53a542c5730d8042b5c532e8e3d48a55,1026.0
99ee92e36a3bfda54437f2370facd8c8,1025.0
c19c906ba229e4d72bd09632ac4b6a9a,1016.0
9fd4ed7cfada5a311820796110d9884b,1013.0
1eeda6a9e8ebf5b66a6506ec39ce3f2a,1003.0
d6407426a326d0bd8663a18e3e7f38b3,993.0
bc36214890a26655bb0101cf1456eef4,988.0
d6cac08cbecd090e37f47abfdccb0422,975.0
b9ed1a2c86edb972db7742981e6901da,967.0
60f93fed83d17d00026301844c347826,966.0
3abae39e94cf51920aec2b9fb42b53a9,966.0
3d2cd874a4eea35af603ca0c0c25c89f,960.0
c3ff4c29778c6c86865687a4061a3382,959.0
cdb79eecfa38ac58e99bfdef45fabfce,929.0
