GROUP,1_RA_FMT,2_RA_FMT,3_RA_FMT,4_RA_FMT,5_RA_FMT,1_IH_FMT,2_IH_FMT,3_IH_FMT,4_IH_FMT,5_IH_FMT,1_RA_FMT_PRO,2_RA_FMT_PRO,3_RA_FMT_PRO,4_RA_FMT_PRO,5_RA_FMT_PRO,1_IH_FMT_PRO,2_IH_FMT_PRO,3_IH_FMT_PRO,4_IH_FMT_PRO,5_IH_FMT_PRO
bc252e0de1c683f043226dd0579e9323,0,0,0,33,23,0,0,0,0,7,0,0,706,242,31,0,0,17,0,0
e4897e85330404ac5201dc9b7a24a796,66,112,85,0,89,46,59,114,109,76,48,38,8,24,56,18,15,51,36,10
610fec3c1f64661f446a6e8270f23d0c,27,29,24,114,37,47,47,18,58,57,92,32,55,65,30,89,81,83,62,20
a2059dc1d1825bb8a0a039915d189ef8,75,34,89,0,221,59,28,0,36,16,94,0,0,153,7,9,17,86,38,41
b0fff0788c980929fc4bf71e985f57f0,55,45,71,12,111,22,44,73,15,29,75,74,108,59,100,30,18,21,17,22
3e9e6197d0866ceeaa0d19f676601a4a,73,64,30,131,91,19,6,18,92,86,122,0,0,26,10,69,0,127,116,0
e64e0372e716f489bb7ddc6d493a3bd6,178,75,67,0,20,142,28,93,32,24,11,9,35,23,58,12,40,85,33,46
8670fe90bab6cfb5f737407248edc049,47,34,0,0,0,53,48,11,0,0,124,83,130,182,219,0,0,0,0,0
ac28c199405fa8466bdedf16d456edbc,0,6,0,0,72,0,0,0,12,0,4,0,6,12,31,357,429,5,21,36
992f0b2cc98ca40445e88a98a044838d,53,69,56,37,37,24,19,12,99,61,18,17,23,22,50,58,17,83,93,61
7d778ad679a7e22769f032c56e881c28,44,68,52,45,30,57,48,61,22,10,65,45,39,46,58,64,58,53,37,49
5350cb7ce82bdd6c877c33d2a14a1f19,29,17,38,0,178,0,0,0,15,0,217,28,0,128,148,28,21,0,21,0
2c5b343f7eeb463c44733a40b9ed0e8d,158,152,12,56,8,49,46,8,79,4,16,0,0,7,22,35,85,121,17,74
fab19e407fc7d0aa7929a7eae23d8b53,0,18,0,0,0,41,59,90,128,91,170,78,13,112,50,12,0,0,0,28
3fb663a5bf98e163dbeedefe91c6bae9,23,38,15,0,51,34,44,108,84,35,29,36,18,17,53,58,22,74,68,59
2eb2fe0471e37d54b5e1c47660220ad6,37,42,33,36,49,59,52,39,43,30,45,30,66,53,27,54,71,36,34,53
d114fb4c335125128be28401522dd41a,0,0,0,0,0,0,0,0,0,0,33,18,46,21,124,67,39,50,75,358
