# Constructed from biom file
#OTU ID	AK005	AK006	AK007	AK008	AK009	AK010	AK011	AK012	AK013	AK014	AK015	AK016	AK017	AK018	AK019	AK020	AK021	AK022	AK023	AK024	MB001	MB002	MB003	MB004	MB005	MB006	MB007	MB008	MB009	MB010	MB011	MB012	MB013	MB014	MB015	MB016	Taxon
1930d2ae4018583d606e705beea31bd1	660.0	624.0	420.0	528.0	570.0	97.0	111.0	38.0	55.0	30.0	140.0	196.0	301.0	189.0	107.0	152.0	200.0	86.0	141.0	67.0	1231.0	2016.0	1453.0	1880.0	890.0	841.0	0.0	3201.0	2223.0	3996.0	3872.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales
7421a0056850e30172e2c541c9215c11	424.0	643.0	526.0	480.0	619.0	1222.0	964.0	453.0	919.0	1202.0	216.0	558.0	489.0	353.0	407.0	940.0	722.0	1050.0	1033.0	1313.0	310.0	813.0	343.0	1255.0	47.0	0.0	0.0	681.0	1350.0	272.0	1126.0	1091.0	540.0	618.0	592.0	973.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella; s__uncultured_bacterium
9fd2ab2f88f10ef6d386289b4ce9b85d	1035.0	1549.0	902.0	704.0	459.0	761.0	871.0	641.0	1020.0	700.0	594.0	394.0	958.0	1017.0	876.0	900.0	701.0	1408.0	1672.0	1841.0	4.0	1485.0	0.0	0.0	634.0	288.0	0.0	949.0	137.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_bacterium
9a13cbb8e1b12468bf22d6a05aafb0c0	450.0	681.0	201.0	87.0	166.0	134.0	195.0	52.0	66.0	61.0	837.0	162.0	651.0	1012.0	261.0	334.0	487.0	39.0	25.0	173.0	106.0	92.0	0.0	212.0	376.0	752.0	13276.0	49.0	49.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__uncultured_bacterium
0ad13b6d1cd98ad7e8f6ee9909d33114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18783.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium
97cedb38639c436b01657f69a87fc45b	215.0	155.0	153.0	0.0	694.0	384.0	26.0	80.0	95.0	37.0	939.0	137.0	549.0	1249.0	682.0	147.0	118.0	49.0	65.0	0.0	159.0	145.0	0.0	230.0	5060.0	4580.0	0.0	240.0	456.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__uncultured; s__unidentified
0ebb2cf4a2017aeaefadf9ae5062eb62	486.0	670.0	556.0	480.0	319.0	708.0	455.0	318.0	599.0	675.0	261.0	211.0	453.0	305.0	268.0	595.0	164.0	579.0	641.0	644.0	562.0	314.0	427.0	971.0	240.0	240.0	0.0	235.0	444.0	530.0	379.0	675.0	530.0	446.0	599.0	554.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae
129500150cad877075ed12b0c9424282	702.0	757.0	582.0	891.0	591.0	920.0	693.0	269.0	552.0	611.0	737.0	381.0	496.0	856.0	389.0	523.0	507.0	402.0	319.0	379.0	150.0	191.0	24.0	655.0	238.0	222.0	0.0	235.0	335.0	461.0	584.0	385.0	240.0	240.0	274.0	295.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium
3d5b2906feb76d0c694fdd77e162e880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2344.0	0.0	1281.0	0.0	0.0	0.0	2938.0	0.0	989.0	0.0	1628.0	1253.0	916.0	1383.0	1546.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dubosiella; s__uncultured_bacterium
6f1cbae792de3e1162d3d7dffbe4bb20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1335.0	3401.0	81.0	126.0	0.0	0.0	0.0	161.0	605.0	589.0	720.0	2526.0	981.0	995.0	1127.0	1589.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis
